,prenom,year,nombre,parts
0,MARIE,1900,49752,12.740425858823832
1,MARIE,1901,53177,12.405460763592421
2,MARIE,1902,52889,11.997051151185211
3,MARIE,1903,51443,11.595976809398865
4,MARIE,1904,51075,11.257066660789263
5,MARIE,1905,49898,10.755293260536407
6,MARIE,1906,49365,10.376008121724983
7,MARIE,1907,46889,9.864681205582741
8,MARIE,1908,48298,9.68852995043199
9,MARIE,1909,47157,9.435438367621343
10,MARIE,1910,46066,9.06134989840257
11,MARIE,1911,43037,8.824319419981999
12,MARIE,1912,44425,8.56768713911571
13,MARIE,1913,43418,8.343405965175917
14,MARIE,1914,43006,8.402481316856347
15,MARIE,1915,27222,8.296026306406244
16,MARIE,1916,20128,7.720218780444772
17,MARIE,1917,20657,7.279589520943312
18,MARIE,1918,22731,6.987381461045448
19,MARIE,1919,24118,6.649242662343749
20,MARIE,1920,38714,6.2318404324331285
21,MARIE,1921,37206,6.1118384632190725
22,MARIE,1922,34563,5.929582031631986
23,MARIE,1923,33848,5.764197196578403
24,MARIE,1924,32671,5.55319481649692
25,MARIE,1925,32031,5.301723709865898
26,MARIE,1926,31377,5.180791921286703
27,MARIE,1927,29582,4.929207830878616
28,MARIE,1928,28850,4.7611581909249185
29,MARIE,1929,27168,4.546230383839195
30,MARIE,1930,28047,4.4921630997799324
31,MARIE,1931,27615,4.475580010210449
32,MARIE,1932,26907,4.4090609668570755
33,MARIE,1933,25227,4.357785090560464
34,MARIE,1934,25009,4.286803966437834
35,MARIE,1935,23730,4.271973298816701
36,MARIE,1936,23335,4.236341950042572
37,MARIE,1937,22920,4.219960856733065
38,MARIE,1938,23334,4.336924824034303
39,MARIE,1939,23864,4.438096513349253
40,MARIE,1940,22534,4.627627350111409
41,MARIE,1941,20662,4.482754131935556
42,MARIE,1942,22664,4.446458665630781
43,MARIE,1943,24473,4.439385419123116
44,MARIE,1944,25414,4.566485725015408
45,MARIE,1945,25454,4.512720503501463
46,MARIE,1946,31416,3.762832329025048
47,MARIE,1947,33131,3.8470649162449697
48,MARIE,1948,31189,3.630008880364153
49,MARIE,1949,30545,3.549894938450668
50,MARIE,1950,28298,3.3292508891375223
51,MARIE,1951,25276,3.100102044821225
52,MARIE,1952,25833,3.1797631517726686
53,MARIE,1953,22729,2.8596591659694393
54,MARIE,1954,23607,2.9510004175177444
55,MARIE,1955,20090,2.523853493382579
56,MARIE,1956,19690,2.473602552747784
57,MARIE,1957,18311,2.276377686501109
58,MARIE,1958,18199,2.2772775277918202
59,MARIE,1959,16692,2.049899052419058
60,MARIE,1960,15074,1.8719350075689558
61,MARIE,1961,14302,1.7391367791799717
62,MARIE,1962,12936,1.584280643999794
63,MARIE,1963,12018,1.4110751434499131
64,MARIE,1964,11433,1.3300449630349176
65,MARIE,1965,9811,1.1580076744122914
66,MARIE,1966,9650,1.1449575594488068
67,MARIE,1967,8131,0.9949244293042013
68,MARIE,1968,8049,0.9969024066108414
69,MARIE,1969,7222,0.8924092082988373
70,MARIE,1970,5618,0.6927079480160785
71,MARIE,1971,5460,0.6509811215474751
72,MARIE,1972,5105,0.6143799816829318
73,MARIE,1973,4850,0.6010717667296243
74,MARIE,1974,5194,0.6945791003101134
75,MARIE,1975,5012,0.726669585717144
76,MARIE,1976,4837,0.7322275491343305
77,MARIE,1977,5253,0.773060468839909
78,MARIE,1978,6053,0.9042601663910413
79,MARIE,1979,6595,0.9602546312811501
80,MARIE,1980,7399,1.0197218815033282
81,MARIE,1981,7418,1.020339388704191
82,MARIE,1982,7214,1.0059711233018833
83,MARIE,1983,7228,1.0793537018785653
84,MARIE,1984,7536,1.1078768633677338
85,MARIE,1985,7871,1.1448127807125736
86,MARIE,1986,7958,1.1446653960947895
87,MARIE,1987,7534,1.0999439370225887
88,MARIE,1988,7350,1.0698814542236301
89,MARIE,1989,7009,1.0297630766247161
90,MARIE,1990,6771,1.0038264303896554
91,MARIE,1991,6695,0.9985875095272259
92,MARIE,1992,7289,1.1202385252011404
93,MARIE,1993,6826,1.110296019297615
94,MARIE,1994,7223,1.1788919101541717
95,MARIE,1995,7630,1.21759140313446
96,MARIE,1996,7429,1.184888170098201
97,MARIE,1997,6783,1.1003218396771222
98,MARIE,1998,6860,1.1015815563773703
99,MARIE,1999,6315,1.0066038953897063
100,MARIE,2000,6403,0.9762858445413836
101,MARIE,2001,5634,0.8773760320925901
102,MARIE,2002,4721,0.753337439642049
103,MARIE,2003,4816,0.7812208522379803
104,MARIE,2004,4162,0.6782301484871003
105,MARIE,2005,3630,0.5926917676256409
106,MARIE,2006,3409,0.5448872663570075
107,MARIE,2007,2759,0.45203719845071993
108,MARIE,2008,2307,0.37538380431227636
109,MARIE,2009,2026,0.33346555643155645
110,MARIE,2010,1904,0.31546525325862024
111,MARIE,2011,1627,0.27783422500986166
112,MARIE,2012,1416,0.24411309883994559
113,MARIE,2013,1273,0.22344074168986497
114,MARIE,2014,1224,0.21513956827956893
115,MARIE,2015,1007,0.18283328037764968
116,MARIE,2016,935,0.17479510648480498
117,MARIE,2017,837,0.16076738093225873
118,MARIE,2018,760,0.14882409383750758
119,MARIE,2019,715,0.14194252816516947
120,MARIE,2020,610,0.12521630603686287
121,JEAN,1900,14100,3.610709209869272
122,JEAN,1901,15638,3.648129744458286
123,JEAN,1902,16370,3.713281161392764
124,JEAN,1903,16535,3.727221906642502
125,JEAN,1904,16944,3.734502936865654
126,JEAN,1905,18001,3.8800359530024418
127,JEAN,1906,18522,3.893131215042847
128,JEAN,1907,18475,3.8868388166337766
